Id,SalePrice
1461,124155.841703
1462,160918.211095
1463,183273.304271
1464,197778.858403
1465,194434.193369
1466,168209.049496
1467,177927.098034
1468,160282.228838
1469,186941.248447
1470,120080.401204
1471,181141.919734
1472,97554.2061467
1473,96823.6032622
1474,142160.913253
1475,110957.007082
1476,368558.947868
1477,247369.344484
1478,294192.757796
1479,283016.371387
1480,492416.604331
1481,329521.629562
1482,210198.053416
1483,173850.551393
1484,158579.552274
1485,181765.502697
1486,191002.293964
1487,330371.024929
1488,230191.788958
1489,191286.295334
1490,236445.119395
1491,189712.154875
1492,94158.0898432
1493,181398.232614
1494,294503.810895
1495,291586.191339
1496,229989.293026
1497,182841.052566
1498,166228.54323
1499,163235.189116
1500,159848.767808
1501,171228.450537
1502,143537.457626
1503,287027.130614
1504,241326.945084
1505,222129.65958
1506,191194.454038
1507,249030.903235
1508,197240.279968
1509,161866.99143
1510,144561.679029
1511,145892.933463
1512,174809.097037
1513,149731.277784
1514,151765.930474
1515,194872.179713
1516,148570.798257
1517,171665.15357
1518,128091.295102
1519,209279.381268
1520,129624.481499
1521,136424.134636
1522,176299.909075
1523,113550.811296
1524,125602.081016
1525,122892.540306
1526,111268.183892
1527,107946.827101
1528,136241.263472
1529,151726.06609
1530,188073.05165
1531,111059.553857
1532,94768.7222204
1533,148705.777166
1534,120251.488567
1535,153490.742442
1536,108290.090858
1537,67706.3656645
1538,149442.040326
1539,191295.900459
1540,93422.9975304
1541,142261.5988
1542,140082.73917
1543,190112.213328
1544,87193.66418
1545,115675.566308
1546,131926.231592
1547,128576.782951
1548,138039.86186
1549,121203.484095
1550,136409.286404
1551,104646.213221
1552,140525.172172
1553,143784.577017
1554,117829.125903
1555,169945.04998
1556,80085.3356375
1557,107345.514198
1558,102445.176797
1559,81466.5348
1560,132035.795532
1561,123868.039796
1562,132026.396306
1563,123430.850487
1564,158299.112825
1565,150321.849938
1566,240445.14517
1567,81256.4128653
1568,233393.737738
1569,132538.298339
1570,141570.067011
1571,116273.803491
1572,145525.834435
1573,234886.906933
1574,120142.325815
1575,234035.318666
1576,248432.938201
1577,178977.171967
1578,145293.165573
1579,142199.144823
1580,190049.242763
1581,156871.285153
1582,127117.75766
1583,293992.295822
1584,218033.659226
1585,137974.446144
1586,68601.0299499
1587,100683.667287
1588,155466.190375
1589,101378.022415
1590,132336.536719
1591,95441.3716689
1592,113824.46847
1593,116366.886268
1594,131995.373212
1595,111509.205145
1596,229042.984614
1597,187309.907069
1598,216085.366527
1599,170026.76128
1600,157428.553701
1601,71172.3094453
1602,119056.71849
1603,74023.8605753
1604,271537.857732
1605,242401.980532
1606,173929.76842
1607,170256.492385
1608,212135.816536
1609,181149.241072
1610,151065.626114
1611,141048.621879
1612,169949.053422
1613,167023.102052
1614,125728.69047
1615,92164.4911595
1616,78759.4110446
1617,94068.053008
1618,128633.764399
1619,145367.11892
1620,160001.076895
1621,139803.23482
1622,138726.674968
1623,260212.541871
1624,213519.063356
1625,116216.307906
1626,168627.406003
1627,189971.604319
1628,282499.950642
1629,174725.302668
1630,356478.498538
1631,223105.002251
1632,238087.358673
1633,164330.15979
1634,180600.000837
1635,171228.635971
1636,148616.523309
1637,200034.938848
1638,187515.800367
1639,182164.031334
1640,251220.13012
1641,179372.380582
1642,238073.399169
1643,218940.475837
1644,235443.523992
1645,205538.077985
1646,158100.614663
1647,156656.884969
1648,126084.756241
1649,139137.637494
1650,114661.004314
1651,123583.449846
1652,97948.7155668
1653,101114.72333
1654,135747.433408
1655,131408.130256
1656,137971.14969
1657,141834.477748
1658,139126.585549
1659,118191.732293
1660,159807.374578
1661,445760.409148
1662,416379.692111
1663,384638.746146
1664,502690.896539
1665,314358.874169
1666,325315.756215
1667,386017.128707
1668,343380.642013
1669,303942.063288
1670,346347.770113
1671,258927.751953
1672,426043.850618
1673,289654.249391
1674,241963.375975
1675,196702.219579
1676,196636.023843
1677,219971.922742
1678,463812.784714
1679,384629.102317
1680,339033.963722
1681,251958.570215
1682,308520.590168
1683,186006.120214
1684,173700.615794
1685,171456.615112
1686,163751.286266
1687,164502.836866
1688,185508.661879
1689,192494.336703
1690,192414.365892
1691,182365.092236
1692,256860.334842
1693,164082.324117
1694,179817.502296
1695,157158.988802
1696,264179.573499
1697,164289.95035
1698,339847.705243
1699,308213.235023
1700,247855.192378
1701,273087.40239
1702,237578.734799
1703,234437.981759
1704,271925.780238
1705,232411.449161
1706,432752.383611
1707,206701.103218
1708,200203.443005
1709,265116.278163
1710,221413.174818
1711,269037.702645
1712,253405.987402
1713,268717.350827
1714,221521.406973
1715,201677.399965
1716,177186.828614
1717,167577.71904
1718,134568.783954
1719,205879.664949
1720,234462.316164
1721,159505.427958
1722,123360.541351
1723,155334.851508
1724,197450.363748
1725,230538.424202
1726,182365.852349
1727,150098.404847
1728,169787.009624
1729,166179.663397
1730,157709.318613
1731,121650.697941
1732,133457.016092
1733,118476.554509
1734,120507.015332
1735,123076.296432
1736,111544.437617
1737,297600.176645
1738,251105.414879
1739,261766.010904
1740,221138.38277
1741,196254.667827
1742,167264.540994
1743,168565.620339
1744,331019.238915
1745,214943.630179
1746,197681.941914
1747,215403.764525
1748,230727.283053
1749,146840.241098
1750,129976.692097
