,Id,MSSubClass.30,MSSubClass.160,MSZoning.C..all.,LotShape.IR3,LandContour.Bnk,LotConfig.CulDSac,LotConfig.FR2,LandSlope.Mod,Neighborhood.BrkSide,Neighborhood.Crawfor,Neighborhood.Edwards,Neighborhood.NWAmes,Neighborhood.Somerst,Neighborhood.StoneBr,Condition1.Norm,Condition1.RRAe,Condition2.Norm,BldgType.1Fam,BldgType.Twnhs,OverallQual,OverallCond,RoofMatl.WdShngl,Exterior1st.BrkFace,Exterior1st.Wd.Sdng,MasVnrType.BrkCmn,ExterQual.TA,ExterCond.Fa,Foundation.PConc,Foundation.Stone,BsmtQual.Ex,BsmtCond.Fa,BsmtExposure.Gd,BsmtExposure.No,BsmtFinType1.GLQ,BsmtFinType2.ALQ,BsmtFinSF2,Heating.GasW,Heating.Grav,HeatingQC.Ex,BsmtFullBath,HalfBath,KitchenAbvGr,KitchenQual.Ex,KitchenQual.TA,Functional.Maj2,Functional.Typ,Fireplaces,FireplaceQu.None,GarageType.2Types,GarageCars,GarageQual.Gd,GarageCond.Fa,WoodDeckSF,ScreenPorch,Fence.GdWo,SaleType.ConLD,SaleType.New,SaleType.WD,LogSalePrice,MSZoningordered,LandContourordered,Neighborhoodbins,GreatNeighboorhood,Condition1nums,OverallQualcat.9,OverallQualGood,OverallCondcat.3,OverallCondcat.4,OverallCondcat.7,Exterior1stnums,Foundationnums,BsmtExposurenums,HeatingQCnums,NoCentralAir,KitchenQualnums,FireplaceQunums,GarageFinishnums,BadGarageQ,SummerSale,YrSoldfact.2009,SaleConditionnums,LogAllSizesSum,LotAreabin,Age,RemodAge,LogTotalHouseAreaweighted,LogTotalLivArea,LogTotalLivAreaweighted,LogX1stFlrSF,GrLivAreabin,TotalBath,LogOpenPorchSF
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.651256095779,-0.517022653386,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.28855396047,0,0,1,1.10743069712,1.22716489855,-0.211381153188,0,0,0,1,-0.950900669937,1,0,0.311617870882,0,0,-0.751918199273,-0.270115801243,0,0,0,1,12.2476943202,0.358920979708,-0.111129449421,0.949967243031,0,0.181093014592,0,0,0,0,0,0.964099897561,0.983900489835,-0.591396396569,0.890874189039,0,0.735742242732,-0.943866867988,0.318365497845,0,0,0,0.189904307051,0.957865728445,-0.541806198383,-1.04290202379,-0.869643019142,0.834310245211,1.00581866966,0.692042876997,-0.803369773805,0.436041109564,1.27188937518,0.844919276255
1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.07181150866,2.17888118213,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.28855396047,0,0,1,-0.819683507644,-0.761359798324,-0.211381153188,0,1,0,1,0.600289249737,0,0,0.311617870882,0,0,1.62563778043,-0.270115801243,0,0,0,1,12.1090109327,0.358920979708,-0.111129449421,0.949967243031,0,-2.44535534274,0,0,0,0,0,-0.977397827183,-0.457639615694,2.22110763923,0.890874189039,0,-0.770826725555,0.526048467759,0.318365497845,0,1,0,0.189904307051,0.964775624132,0.251611103161,-0.183402223028,0.39000703644,0.814725022616,1.00960325391,0.229565594127,0.418335239223,-0.428344525145,0.990468069159,-1.07254897487
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.651256095779,-0.517022653386,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.28855396047,0,0,1,1.10743069712,1.22716489855,-0.211381153188,0,0,0,1,0.600289249737,0,0,0.311617870882,0,0,-0.751918199273,-0.270115801243,0,0,0,1,12.317166693,0.358920979708,-0.111129449421,0.949967243031,0,0.181093014592,0,0,0,0,0,0.964099897561,0.983900489835,0.346104948698,0.890874189039,0,0.735742242732,0.526048467759,0.318365497845,0,0,0,0.189904307051,0.977241028893,0.648319753933,-0.976786654499,-0.821194940081,0.850053586194,0.990327946777,0.624143051505,-0.576479243306,0.436041109564,1.27188937518,0.674906071446
3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0.651256095779,-0.517022653386,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-0.28855396047,0,0,0,1.10743069712,-0.761359798324,-0.211381153188,0,0,0,1,0.600289249737,0,0,1.64974166937,0,0,-0.751918199273,-0.270115801243,0,0,0,1,11.8493977016,0.358920979708,-0.111129449421,0.949967243031,0,0.181093014592,0,0,0,0,0,-1.36569737213,-1.89917972122,-0.591396396569,-0.151334397497,0,0.735742242732,1.26100613563,-0.801667337948,0,0,0,-3.19131872093,0.964898232478,0.251611103161,1.80005885565,0.632247431744,0.825400977363,0.95915289014,0.281948239603,-0.43927022318,0.436041109564,-0.698059766947,0.592355326936
4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1.37432370022,-0.517022653386,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.28855396047,0,0,1,1.10743069712,1.22716489855,-0.211381153188,0,0,0,1,0.600289249737,0,0,1.64974166937,0,0,0.779929948725,-0.270115801243,0,0,0,1,12.4292161968,0.358920979708,-0.111129449421,1.66268675733,1,0.181093014592,0,1,0,0,0,0.964099897561,0.983900489835,1.28360629396,0.890874189039,0,0.735742242732,0.526048467759,0.318365497845,0,0,0,0.189904307051,1.00209594287,1.44173705548,-0.943728969855,-0.724298781959,0.915302931561,1.02038579695,1.29971955422,0.112088574505,1.30042674427,1.27188937518,0.991508538259
5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-0.794879113099,-0.517022653386,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-0.28855396047,0,0,1,1.10743069712,1.22716489855,-0.211381153188,0,1,0,1,-0.950900669937,1,0,0.311617870882,0,0,-0.43278316844,-0.270115801243,0,0,0,1,11.8705999092,0.358920979708,-0.111129449421,-0.475471785566,0,0.181093014592,0,0,0,0,0,0.964099897561,0.263130437071,-0.591396396569,0.890874189039,0,-0.770826725555,-0.943866867988,-0.801667337948,0,0,1,0.189904307051,0.987235801734,1.44173705548,-0.679267492698,-0.433610307594,0.778720339887,0.993371419712,0.167558654195,-1.0320280016,-0.428344525145,-0.41663846093,0.522882824789
6,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1.37432370022,-0.517022653386,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-0.28855396047,0,0,1,1.10743069712,-0.761359798324,-0.211381153188,0,0,0,1,0.600289249737,0,0,0.311617870882,0,0,1.28256762229,-0.270115801243,0,0,0,1,12.6346030266,0.358920979708,-0.111129449421,0.949967243031,0,0.181093014592,0,1,0,0,0,0.964099897561,0.983900489835,1.28360629396,0.890874189039,0,0.735742242732,1.26100613563,0.318365497845,0,0,0,0.189904307051,0.980112254586,0.251611103161,-1.10901739308,-1.01498725632,0.904767608657,1.04960397934,1.16772619722,1.34512807378,0.436041109564,0.990468069159,0.813934437553
7,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.651256095779,0.381611958452,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.0901895651733,0,0,1,1.10743069712,1.22716489855,-0.211381153188,0,1,0,1,2.15147916941,0,0,0.311617870882,0,0,1.12300010687,-0.270115801243,0,0,0,1,12.2060726455,0.358920979708,-0.111129449421,0.237247728732,0,2.80754137192,0,0,0,0,0,-0.200798737285,-0.457639615694,0.346104948698,0.890874189039,0,-0.770826725555,0.526048467759,0.318365497845,0,0,1,0.189904307051,0.981170115691,0.251611103161,-0.0181137998053,0.632247431744,0.901065725848,1.03064024581,1.30618421979,0.00585756343293,1.30042674427,1.27188937518,1.40052354548
8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.651256095779,-0.517022653386,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.28855396047,0,0,0,-0.819683507644,-0.761359798324,4.32709654761,0,1,0,0,2.15147916941,0,0,0.311617870882,0,0,-0.0338643798985,-0.270115801243,0,0,0,1,11.7745202027,-2.15438660002,-0.111129449421,-1.18819129986,0,-3.32083812851,0,0,0,0,0,0.187500807664,-1.89917972122,-0.591396396569,-0.151334397497,0,-0.770826725555,0.526048467759,-0.801667337948,1,0,0,-3.19131872093,0.942440281455,-0.938514849155,1.33725127062,1.69810517108,0.851519784142,0.935194462739,0.176456998889,-0.245589423389,0.436041109564,0.286914804115,-1.07254897487
9,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.794879113099,0.381611958452,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-0.28855396047,0,0,1,1.10743069712,-0.761359798324,4.32709654761,0,1,0,1,2.15147916941,0,0,-1.02650592761,1,0,-0.751918199273,-0.270115801243,0,0,0,1,11.6784399034,0.358920979708,-0.111129449421,-1.18819129986,0,-3.32083812851,0,0,0,0,0,-0.977397827183,-1.89917972122,-0.591396396569,0.890874189039,0,-0.770826725555,0.526048467759,0.318365497845,0,0,0,0.189904307051,0.937720982421,-0.938514849155,1.07278979347,1.69810517108,0.756440363255,0.991275775836,-0.228810930107,-0.080615101588,-0.8605373425,-0.698059766947,-0.324803490638
